Reference,Qty,Value,Footprint,Description,Manufacturer Part Number,Supplier,Supplier Part Number
U1,1,ATmega328P,TQFP-32/DIP-28,Microcontroller,,,
U2,1,,,Buck regulator (24V->5V),,,
Q1,1,,,N-channel MOSFET (power stage 1),,,
Q2,1,,,N-channel MOSFET (power stage 2),,,
R_THERM,1,100k NTC,,Thermistor (beta 3950),,,
R1,1,100k,,Thermistor series resistor,,,
SW1,1,,,Push button,,,
LED1,1,,,Stage 1 indicator LED,,,
LED2,1,,,Stage 2 indicator LED,,,
LED3,1,,,Stage 3 indicator LED,,,
BZ1,1,,,Buzzer,,,
J1,1,,,24V power input connector,,,
J2,1,,,Heater output connector,,,
