Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C2",1206,2,22pF,
"C10, C8",0603,2,100nF,
C12,CP_Radial_D6.3mm_P2.50mm,1,47u,
"C13, C3, C5, C6",0805,4,100nF,
C4,0805,1,1uF,
C7,CP_Elec_8x10,1,100uF,
C9,CP_Elec_8x10,1,220uF,
"D1, D4",1206,2,LED,
D2,D_SMA,1,SS34,
D3,0603,1,LED,
"D5, D6, D7",LED_D8.0mm,3,LED,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,Microsemi_FlashPro-JTAG-10,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
L1,L_Axial_L9.5mm_D4.0mm_P12.70mm_Horizontal_Fastron_SMCC,1,10uH,
L2,L_Bourns_SRR1208_12.7x12.7mm,1,47uH,
"Q1, Q2",TO-252-2,2,AOD4184,
R1,0805,1,2.2k,
"R10, R11, R8, R9",1206,4,220,
"R12, R7",0603,2,10k,
R13,0805,1,2.7k,
R14,0805,1,390,
R15,0603,1,100k,
R2,0805,1,10k,
R3,0603,1,1K,
R4,0603,1,4K7,
R5,0603,1,1.8k,
R6,0603,1,100,
SW2,SW_Push_1P1T_NO_CK_KSC7xxJ,1,SW_Push,
U1,TO-263-5_TabPin3,1,LM2596S-ADJ,
U2,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U3,SOT-223-3_TabPin2,1,AMS1117-5.0,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND23,
