Designator,Mid X,Mid Y,Rotation,Layer
BZ1,190.5,-117.8,270.0,bottom
C1,183.1,-107.0,90.0,top
C10,184.5,-145.1,180.0,top
C12,177.43238,-125.5,180.0,top
C13,174.0075,-117.81,270.0,top
C2,190.0,-108.6,270.0,top
C3,187.65,-113.0525,270.0,top
C4,190.4,-117.35,270.0,top
C5,174.0275,-113.81,270.0,top
C6,187.61,-117.3425,270.0,top
C7,169.0,-150.4,180.0,top
C8,178.3,-145.2,0.0,top
C9,184.9575,-150.4,0.0,top
D1,165.7125,-130.2,180.0,top
D2,179.6,-140.0,270.0,top
D3,192.4,-121.3875,90.0,top
D4,169.9,-97.2,180.0,top
D5,191.1,-100.8,90.0,bottom
D6,177.05,-100.8,90.0,bottom
D7,163.0,-100.8,90.0,bottom
J1,163.43,-115.4,180.0,top
J2,193.2,-127.63,180.0,top
L1,170.64,-121.34,270.0,top
L2,189.0,-137.6,0.0,top
Q1,174.7,-89.225,90.0,top
Q2,183.3975,-89.3,90.0,top
R1,165.8,-127.6,180.0,top
R10,169.59,-99.62,180.0,top
R11,173.6,-104.21,90.0,top
R12,170.3,-120.1,90.0,bottom
R13,179.9,-130.9,90.0,top
R14,177.7,-130.9,270.0,top
R15,193.1,-109.2125,180.0,top
R2,183.82,-121.26,180.0,top
R3,174.4,-131.4,180.0,top
R4,194.8,-121.4,90.0,top
R5,169.3,-94.3,0.0,top
R6,173.5,-108.9,90.0,top
R7,169.3,-92.4,0.0,top
R8,183.7,-101.0,90.0,top
R9,180.5,-101.0,90.0,top
SW2,177.05,-121.1,0.0,bottom
U1,167.5,-138.45,180.0,top
U2,180.96,-114.63,90.0,top
U3,185.5,-127.0,0.0,top
Y1,186.58,-107.89,0.0,top
